center,left,right,steering,throttle,reverse,speed
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071785474
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071785723
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071785834
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071785834
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.570795307178582
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.570795307172361
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071661198
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071512042
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071341088
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071189205
dataset_images/center_20240616_215203.jpg,dataset_images/left_20240616_215203.jpg,dataset_images/right_20240616_215203.jpg,0.0,0.0,0.0,-1.5707953071072647
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953070991445
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953070938834
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953070907315
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307088755
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953070912648
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953070980232
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071232004
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071492584
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071680616
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071865972
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953072111596
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307223671
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953072343996
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307235554
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953072319647
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953072241705
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953072130787
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307199842
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071928098
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071786858
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071654122
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071593905
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071539034
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307144783
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071412375
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307136245
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307133998
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071342549
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071352085
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071384952
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071407141
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071460052
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071520404
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071552054
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.570795307161568
dataset_images/center_20240616_215204.jpg,dataset_images/left_20240616_215204.jpg,dataset_images/right_20240616_215204.jpg,0.0,0.0,0.0,-1.5707953071676672
